Batsman Name,Rank,PC1 Score,Batsman Name,Rank,PC1 Score
CH Gayle,1,8.47,JEC Franklin,46,-0.54
G Gambhir,2,4.59,LRPL Taylor,47,-0.54
V Sehwag,3,4.12,MK Pandey,48,-0.56
S Dhawan,4,4.1,SC Ganguly,49,-0.58
AM Rahane,5,4,KD Karthik,50,-0.58
CL White,6,3.88,KC Sangakkara,51,-0.6
RG Sharma,7,2.9,RA Jadeja,52,-0.64
KP Pietersen,8,2.86,AL Menaria,53,-0.7
AB de Villiers,9,2.31,DT Christian,54,-0.72
F du Plessis,10,2.11,SS Tiwary,55,-0.75
DA Warner,11,2.07,M Manhas,56,-0.79
JP Duminy,12,2.07,Y Nagar,57,-0.79
OA Shah,13,1.93,DA Miller,58,-0.8
SK Raina,14,1.86,PA Patel,59,-0.82
R Dravid,15,1.82,JA Morkel,60,-0.83
DJ Hussey,16,1.81,YK Pathan,61,-0.87
Mandeep Singh,17,1.79,STR Binny,62,-1.05
SR Watson,18,1.77,Harbhajan Singh,63,-1.17
DJ Bravo,19,1.72,Y Venugopal Rao,64,-1.27
AT Rayudu,20,1.44,RE Levi,65,-1.27
RV Uthappa,21,1.38,AD Mathews,66,-1.34
M Vijay,22,1.27,N Saini,67,-1.36
SPD Smith,23,1.23,PP Chawla,68,-1.41
SE Marsh,24,1.17,LR Shukla,69,-1.44
JH Kallis,25,1.09,Shakib Al Hasan,70,-1.49
DMD Jayawardene,26,1.04,MN Samuels,71,-1.49
TM Dilshan,27,1.03,MJ Clarke,72,-1.7
V Kohli,28,1.02,R Vinay Kumar,73,-1.91
SR Tendulkar,29,0.88,R Bhatia,74,-1.93
MS Dhoni,30,0.86,J Botha,75,-1.97
DR Smith,31,0.68,SP Goswami,76,-2.02
KA Pollard,32,0.68,P Kumar,77,-2.05
MEK Hussey,33,0.67,A Ashish Reddy,78,-2.05
MA Agarwal,34,0.53,SL Malinga,79,-2.08
JD Ryder,35,0.46,DL Vettori,80,-2.11
MS Bisla,36,0.32,RJ Peterson,81,-2.2
BJ Hodge,37,0.26,B Kumar,82,-2.21
NV Ojha,38,0.25,R Ashwin,83,-2.27
BB McCullum,39,0.09,DW Steyn,84,-2.73
AC Gilchrist,40,-0.05,A Mishra,85,-2.87
DB Das,41,-0.2,WD Parnell,86,-2.98
MK Tiwary,42,-0.29,Z Khan,87,-2.99
Azhar Mahmood,43,-0.36,PC Valthaty,88,-3.05
IK Pathan,44,-0.36,RP Singh,89,-3.4
S Badrinath,45,-0.38,R Sharma,90,-3.93
