Name,Wkts,Ave,Econ,SR
,,,,
R Ashwin,14,30.78,6.54,28.2
,,,,
P Kumar,9,48.22,6.88,42
,,,,
M Morkel,25,18.12,7.19,15.1
,,,,
UT Yadav,19,23.84,7.42,19.2
,,,,
Z Khan,17,26.64,7.55,21.1
,,,,
IK Pathan,8,58.12,7.75,45
,,,,
SP Narine,24,13.5,5.47,14.7
,,,,
DJ Bravo,15,30.8,8.01,23
,,,,
PP Chawla,16,26.18,7.35,21.3
,,,,
R Vinay Kumar,19,25.26,8.59,17.6
,,,,
SL Malinga,22,15.9,6.3,15.1
,,,,
Harbhajan Singh,6,64,7.11,54
,,,,
JH Kallis,15,26.86,7.46,21.6
,,,,
R Bhatia,13,29.92,7.31,24.5
,,,,
SK Trivedi,13,29.23,7.3,24
,,,,
JA Morkel,13,29.61,7.77,22.8
,,,,
A Nehra,11,36.54,8.37,26.1
,,,,
P Awana,17,21.88,7.91,16.5
,,,,
A Mishra,13,29,8.02,21.6
,,,,
MM Patel,15,24.46,7.86,18.6
,,,,
DW Steyn,18,15.83,6.1,15.5
,,,,
S Nadeem,8,39.75,7.06,33.7
,,,,
KA Pollard,16,21.87,7.98,16.4
,,,,
Azhar Mahmood,14,23.5,7.71,18.2
,,,,
J Botha,9,33,7.24,27.3
,,,,
SB Jakati,9,37.33,8.19,27.3
,,,,
HV Patel,9,37.77,8.29,27.3
,,,,
RP Singh,10,31.8,7.75,24.6
,,,,
M Muralitharan,15,17.33,6.5,16
,,,,
B Kumar,8,35.12,7.2,29.2
,,,,
B Lee,7,42.71,7.86,32.5
,,,,
R Sharma,9,33.33,8.1,24.6
,,,,
GB Hogg,10,25.3,7.02,21.6
,,,,
M Kartik,4,66.5,7.38,54
,,,,
RA Jadeja,12,22.75,7.8,17.5
,,,,
DL Vettori,5,47,6.71,42
,,,,
BW Hilfenhaus,14,16.64,6.85,14.5
,,,,
V Pratap Singh,10,29.6,8.7,20.4
,,,,
A Singh,10,31,9.44,19.7
,,,,
VR Aaron,8,33.87,8.74,23.2
,,,,
L Balaji,11,14.72,5.4,16.3
,,,,
PP Ojha,9,24.44,7.33,20
,,,,
Shakib Al Hasan,12,16.25,6.5,15
,,,,
MN Samuels,8,27,7.53,21.5
,,,,
AA Chavan,7,33.71,8.63,23.4
,,,,
A Ashish Reddy,11,21.54,8.72,14.8
,,,,
DT Christian,8,29.12,8.62,20.2
,,,,
AD Mathews,7,27.42,7.38,22.2
,,,,
Ankit Sharma,4,41.25,6.82,36.2
,,,,
K Cooper,10,17.4,7.25,14.4
,,,,
AB Dinda,9,18.77,7.04,16
,,,,
MS Gony,3,69,8.62,48
,,,,
SR Watson,6,26.83,7,23
,,,,
SW Tait,6,25.16,6.61,22.8
,,,,
Harmeet Singh,7,27.28,8.55,19.1
,,,,
Iqbal Abdulla,4,36,6.54,33
,,,,
P Negi,7,21.71,6.9,18.8
,,,,
YK Pathan,3,60.66,8.27,44
,,,,
Pankaj Singh,7,24.28,8.09,18
,,,,
WD Parnell,5,25.6,6.09,25.2
,,,,
DE Bollinger,8,19.62,8.72,13.5
,,,,
RJ Harris,8,16.25,7.22,13.5
,,,,
KP Appanna,6,24.66,8.7,17
,,,,
BA Bhatt,2,68,8.24,49.5
,,,,
AD Mascarenhas,7,15,6.56,13.7
,,,,
AD Russell,1,161,10.06,96
,,,,
JEC Franklin,6,20.16,8.06,15
,,,,
AB Agarkar,3,44.66,9.34,28.6
,,,,
A Chandila,5,17.2,6.14,16.8
,,,,
KMDN Kulasekara,4,23.5,6.71,21
,,,,
SK Raina,2,52.5,7.5,42
,,,,
AC Thomas,3,36.33,7.78,28
,,,,
DR Smith,2,47.5,7.3,39
,,,,
JP Duminy,1,104,8.66,72
,,,,
Anand Rajan,3,36.33,9.21,23.6
,,,,
TP Sudhindra,1,136,11.65,70
,,,,
MJ Clarke,2,33.5,6.09,33
,,,,
STR Binny,3,26,7.8,20
,,,,
M de Lange,3,35.66,10.7,20
,,,,
SC Ganguly,2,47.5,9.5,30
,,,,
AB McDonald,5,12.2,6.1,12
,,,,
P Parameswaran,5,17.4,8.7,12
,,,,
RE van der Merwe,2,30,6,30
