DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,POSITION,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,TOTAL VOTES POLLED,TotalElectors,Criminal Case,Education,Total_Assets,Liabilities_P,Recontesting,National_party_candidate,Winner_corepathi,Winner_graduate_above,Winner_filed_ITR,Cand_corepathi,Cand_graduate_above,Cand_filed_ITR
Pathankot,Sujanpur,GEN,DINESH SINGH,1,M,GEN,54,BJP,48910,125616,159005,0,12th Pass,61992943,1630462,1,1,1,0,1,1,0,1
Pathankot,Sujanpur,GEN,AMIT SINGH,2,M,GEN,40,INC,30209,125616,159005,0,12th Pass,105210992,825636,0,1,0,0,0,1,0,1
Pathankot,Sujanpur,GEN,NARESH PURI,3,M,GEN,47,IND,28675,125616,159005,0,Graduate,278907766,909434,0,0,0,0,0,1,1,1
Pathankot,Sujanpur,GEN,NATHA SINGH,4,M,GEN,62,RMPOI,10581,125616,159005,0,10th Pass,9504078,876400,0,0,0,0,0,0,0,1
Pathankot,Sujanpur,GEN,KULBHUSHAN SINGH,5,M,GEN,44,AAAP,2831,125616,159005,0,Post Graduate,11567613,241543,0,1,0,0,0,1,1,1
Pathankot,Sujanpur,GEN,KARNAIL CHAND,6,M,SC,58,BSP,1083,125616,159005,0,5th Pass,38590000,1401750,0,1,0,0,0,1,0,1
Pathankot,Sujanpur,GEN,ROMESH SINGH JASROTIA,8,M,GEN,62,APPA,908,125616,159005,0,10th Pass,5452985,0,0,0,0,0,0,0,0,1
Pathankot,Sujanpur,GEN,SAURAB DUBEY,9,M,GEN,28,SHS,701,125616,159005,0,Graduate,202000,0,0,0,0,0,0,0,1,0
Pathankot,Sujanpur,GEN,GURU DUTT SHARMA,10,M,GEN,49,IND,463,125616,159005,0,12th Pass,1017772,144000,0,0,0,0,0,0,0,0
Pathankot,Bhoa,SC,JOGINDER PAL,1,M,SC,53,INC,67865,131373,174313,1,10th Pass,64164573,6560780,0,1,1,0,1,1,0,1
Pathankot,Bhoa,SC,SEEMA KUMARI,2,F,SC,38,BJP,40369,131373,174313,0,5th Pass,8101719,339975,1,1,0,0,0,0,0,1
Pathankot,Bhoa,SC,LAL CHAND KATARUCHAK,3,M,SC,46,RMPOI,13353,131373,174313,0,10th Pass,106989,0,0,0,0,0,0,0,0,0
Pathankot,Bhoa,SC,AMARJEET SINGH,4,M,SC,54,AAAP,3767,131373,174313,0,10th Pass,23830114,8245904,0,1,0,0,0,1,0,1
Pathankot,Bhoa,SC,MAHASHA VINOD KUMAR,5,M,SC,44,IND,750,131373,174313,0,12th Pass,311000,0,0,0,0,0,0,0,0,0
Pathankot,Bhoa,SC,CHAIN SINGH,6,M,SC,43,BSP,695,131373,174313,0,Others,2331900,0,0,1,0,0,0,0,0,0
Pathankot,Bhoa,SC,BALBIR RAM FATEHPURIA,7,M,SC,60,IND,657,131373,174313,0,Graduate,14515000,200000,0,0,0,0,0,1,1,1
Pathankot,Bhoa,SC,MASTER SAMPURAN SINGH SAIDIPUR,8,M,SC,54,AITC,643,131373,174313,0,10th Pass,2703000,196000,0,1,0,0,0,0,0,0
Pathankot,Bhoa,SC,BALBIR SINGH,9,M,SC,39,HINUP,465,131373,174313,0,Illiterate,248600,0,0,0,0,0,0,1,1,1
Pathankot,Bhoa,SC,LUBHAYA RAM,10,M,SC,62,IND,458,131373,174313,0,8th Pass,242000,0,0,0,0,0,0,0,0,0
Pathankot,Bhoa,SC,ANIKA RAY,12,F,SC,39,APPA,367,131373,174313,0,Post Graduate,5306789,250000,0,0,0,0,0,0,1,1
Pathankot,Bhoa,SC,DHARMINDER KUMAR,13,M,SC,44,IND,358,131373,174313,0,10th Pass,530464,110000,0,0,0,0,0,0,0,1
Pathankot,Bhoa,SC,SURINDER KUMAR KALOTRA,14,M,SC,46,IND,302,131373,174313,0,10th Pass,1490000,0,0,0,0,0,0,0,0,1
Pathankot,Bhoa,SC,DALIP SINGH SURAJVANSHI ADVOCATE,15,M,SC,62,IND,221,131373,174313,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Pathankot,Bhoa,SC,BOBBY SANDHU,16,M,SC,41,SHS,219,131373,174313,0,12th Pass,101000,0,0,0,0,0,0,0,0,1
Pathankot,Bhoa,SC,GEETA,17,F,SC,43,IND,148,131373,174313,0,10th Pass,15749000,5300000,0,0,0,0,0,1,0,1
Pathankot,Pathankot,GEN,AMIT VIJ,1,M,GEN,39,INC,56383,110901,145604,0,Graduate Professional,256565998,15675165,0,1,1,1,1,1,1,1
Pathankot,Pathankot,GEN,ASHWANI KUMAR SHARMA,2,M,GEN,51,BJP,45213,110901,145604,0,Graduate,6375996,178210,1,1,0,0,0,0,1,1
Pathankot,Pathankot,GEN,RAJ KUMAR,3,M,GEN,48,AAAP,6036,110901,145604,0,8th Pass,8477787,2315361,0,1,1,1,1,1,1,1
Pathankot,Pathankot,GEN,ASHOK SHARMA,5,M,GEN,67,IND,703,110901,145604,0,Graduate Professional,5973150,49000,0,0,0,0,0,0,1,1
Pathankot,Pathankot,GEN,ANKUR KHAJURIA,6,M,GEN,31,BSP,470,110901,145604,0,Others,605000,0,0,1,0,0,0,0,0,0
Pathankot,Pathankot,GEN,SAT PAL,7,M,SC,45,SHS,352,110901,145604,0,10th Pass,2511000,100000,0,0,0,0,0,0,0,0
Pathankot,Pathankot,GEN,RAMAN PAL,8,M,GEN,35,IND,277,110901,145604,0,Graduate,158500,0,0,0,0,0,0,0,1,0
Pathankot,Pathankot,GEN,SUNITA DEVI,9,F,GEN,44,APPA,185,110901,145604,0,10th Pass,3077200,130000,0,0,0,0,0,0,0,1
Pathankot,Pathankot,GEN,RAVI KUMAR,10,M,GEN,38,HINUP,176,110901,145604,0,5th Pass,873659,0,0,0,0,0,0,0,0,0
Pathankot,Pathankot,GEN,KIRAN BALA,11,F,GEN,50,HSS,151,110901,145604,0,8th Pass,54000,0,0,0,0,0,0,0,0,0
Gurdaspur,Gurdaspur,GEN,BARINDERMEET SINGH PAHRA,1,M,GEN,36,INC,67709,118107,155277,0,10th Pass,0,0,0,1,0,0,0,0,0,0
Gurdaspur,Gurdaspur,GEN,GURBACHAN SINGH BABEHALI,2,M,GEN,62,SAD,38753,118107,155277,0,10th Pass,75500000,29960624,1,0,0,0,0,1,0,1
Gurdaspur,Gurdaspur,GEN,AMARJIT SINGH CHAHAL,3,M,GEN,62,AAAP,6949,118107,155277,0,Post Graduate,34051539,0,0,1,0,0,0,1,1,1
Gurdaspur,Gurdaspur,GEN,SUCHA SINGH CHHOTEPUR,4,M,GEN,68,APPA,1740,118107,155277,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Gurdaspur,Gurdaspur,GEN,SANDEEP KUMAR,5,M,GEN,30,HSS,618,118107,155277,0,10th Pass,2528000,0,0,0,0,0,0,0,0,1
Gurdaspur,Gurdaspur,GEN,MAJOR SOM NATH,7,M,GEN,70,BSP,564,118107,155277,0,Graduate Professional,3880000,100000,0,1,0,0,0,0,1,1
Gurdaspur,Gurdaspur,GEN,PANKAJ,8,M,GEN,28,HINUP,270,118107,155277,0,12th Pass,1170000,0,0,0,0,0,0,0,0,0
Gurdaspur,Gurdaspur,GEN,SWARANJIT SINGH,9,M,GEN,64,IND,194,118107,155277,0,8th Pass,4868482,0,0,0,0,0,0,0,0,0
Gurdaspur,Dina Nagar,SC,ARUNA CHAUDHARY,1,F,SC,59,INC,72176,131197,181798,0,Graduate Professional,51662751,407698,1,1,1,1,1,1,1,1
Gurdaspur,Dina Nagar,SC,BISHAN DASS,2,M,SC,69,BJP,40259,131197,181798,0,Post Graduate,92233120,1349274,0,1,0,0,0,1,1,1
