DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,POSITION,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,TOTAL VOTES POLLED,TotalElectors,Criminal Case,Education,Total_Assets,Liabilities_P,Recontesting,National_party_candidate,Winner_corepathi,Winner_graduate_above,Winner_filed_ITR,Cand_corepathi,Cand_graduate_above,Cand_filed_ITR
Saharanpur,Behat,GEN,NARESH SAINI,1,M,GEN,53,INC,97035,252563,336576,0,Post Graduate,10780291,398000,0,1,1,1,1,1,1,1
Saharanpur,Behat,GEN,MAHAVEER SINGH RANA,2,M,GEN,55,BJP,71449,252563,336576,0,Graduate Professional,55663295,2985082,1,1,0,0,0,1,1,1
Saharanpur,Behat,GEN,MOHD. IQBAL,3,M,GEN,52,BSP,71019,252563,336576,0,Literate,140103795,10214938,0,1,0,0,0,1,0,1
Saharanpur,Behat,GEN,RANA ADITYA PRATAP SINGH,4,M,GEN,49,IND,4187,252563,336576,0,12th Pass,65920214,286731,0,0,0,0,0,1,0,0
Saharanpur,Behat,GEN,KAMRAN ALI,6,M,GEN,37,BhaSP,1255,252563,336576,0,10th Pass,682859,0,0,0,0,0,0,0,0,0
Saharanpur,Behat,GEN,ARUN,7,M,GEN,38,RLD,1150,252563,336576,0,Graduate,5477510,0,0,0,0,1,1,1,1,1
Saharanpur,Behat,GEN,HARDHYAN,8,M,SC,39,IND,1113,252563,336576,0,5th Pass,2277500,0,0,0,0,0,0,0,0,0
Saharanpur,Behat,GEN,GOPAL SINGH,9,M,GEN,32,IND,945,252563,336576,0,Graduate,1405000,0,0,0,0,0,0,0,1,0
Saharanpur,Behat,GEN,KRISHNA KUMAR,10,M,SC,35,IND,810,252563,336576,0,Literate,2167700,9000,0,0,0,0,0,0,1,0
Saharanpur,Behat,GEN,KALYAN SINGH,11,M,GEN,45,IND,659,252563,336576,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Saharanpur,Behat,GEN,LOKESH VERMA,12,M,GEN,34,BHATARSP,617,252563,336576,0,Post Graduate,288275,0,0,0,0,0,0,0,1,0
Saharanpur,Behat,GEN,SAKEEM KHAN,13,M,GEN,42,BMUP,425,252563,336576,0,Literate,15768000,1000000,0,0,0,0,0,1,0,1
Saharanpur,Behat,GEN,KARM SINGH,14,M,GEN,57,IND,319,252563,336576,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Saharanpur,Nakur,GEN,DR.DHARAM SINGH SAINI,1,M,GEN,60,BJP,94375,255628,329580,0,Graduate Professional,65599100,13797000,1,1,1,1,1,1,1,1
Saharanpur,Nakur,GEN,IMRAN MASOOD,2,M,GEN,46,INC,90318,255628,329580,6,12th Pass,45048336,0,0,1,0,0,0,1,0,1
Saharanpur,Nakur,GEN,NAVEEN CHOUDHARY,3,M,GEN,38,BSP,65328,255628,329580,0,10th Pass,0,0,0,1,0,0,0,0,0,0
Saharanpur,Nakur,GEN,KAMAL GARG,5,M,GEN,43,IND,944,255628,329580,0,Graduate,9556714,700000,0,0,0,0,0,0,1,1
Saharanpur,Nakur,GEN,VIJAYPAL SINGH,6,M,GEN,56,IND,814,255628,329580,0,Graduate,8679600,1150000,0,0,0,0,0,0,1,0
Saharanpur,Nakur,GEN,RAJPAL SINGH,7,M,GEN,59,IND,813,255628,329580,1,Post Graduate,28863074,2890000,0,0,0,0,0,1,1,1
Saharanpur,Nakur,GEN,RAMKUMAR,8,M,GEN,30,RLD,783,255628,329580,0,10th Pass,1925000,0,0,0,0,0,0,0,0,0
Saharanpur,Nakur,GEN,PARVESH KUMAR,9,M,GEN,40,ASP,295,255628,329580,0,Graduate,11190000,8030000,0,0,0,0,0,1,1,1
Saharanpur,Nakur,GEN,INDU,10,F,GEN,45,IND,245,255628,329580,0,8th Pass,662000,0,0,0,0,0,0,0,0,0
Saharanpur,Nakur,GEN,RAJIV SAINI,11,M,GEN,41,BMUP,245,255628,329580,0,Graduate,12120000,300000,0,0,0,0,0,1,1,1
Saharanpur,Nakur,GEN,ARVIND,12,M,SC,37,IND,140,255628,329580,0,10th Pass,211900,0,0,0,0,0,0,0,1,1
Saharanpur,Saharanpur Nagar,GEN,SANJAY GARG,1,M,GEN,59,SP,127210,272524,393564,0,Graduate Professional,74937760,3306700,0,1,1,1,1,1,1,1
Saharanpur,Saharanpur Nagar,GEN,RAJIV GUMBER,2,M,GEN,47,BJP,122574,272524,393564,3,12th Pass,7169578,150000,1,1,0,0,0,0,0,1
Saharanpur,Saharanpur Nagar,GEN,MUKESH DIXIT,3,M,GEN,47,BSP,17350,272524,393564,0,10th Pass,0,0,0,1,0,0,0,0,0,0
Saharanpur,Saharanpur Nagar,GEN,BHOORA MALIK,4,M,GEN,40,RLD,934,272524,393564,0,Illiterate,2159951,0,0,0,0,0,0,0,0,0
Saharanpur,Saharanpur Nagar,GEN,TALAT KHAN,5,F,GEN,58,AIMIM,693,272524,393564,0,5th Pass,89060259,0,0,0,0,0,0,1,0,0
Saharanpur,Saharanpur Nagar,GEN,SHABNAM,7,F,GEN,26,IND,594,272524,393564,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Saharanpur,Saharanpur Nagar,GEN,ZAINUL AABIDEEN SIDDIQUI,8,M,GEN,48,PBI,494,272524,393564,0,10th Pass,0,0,0,0,0,0,0,0,0,0
Saharanpur,Saharanpur Nagar,GEN,ROSHAN SINGH,9,M,GEN,26,IND,409,272524,393564,0,Graduate Professional,180000,0,0,0,0,0,0,0,1,0
