Year,Coal,Gas,Diesel,Nuclear,Hydro,Renewable Energy,Financial Year,Solar,Wind,Thermal
2007,0.54,0.1,0.015,0.025,0.26,0.06,2014,7.9,5,4.9
2008,0.53,0.1,0.015,0.025,0.25,0.08,2015,6.5,5,4.1
2009,0.52,0.1,0.015,0.025,0.25,0.09,2016,5.2,5.25,4.15
2010,0.53,0.11,0.01,0.02,0.23,0.1,2017,3.25,3.46,4.27
2011,0.54,0.1,0.01,0.02,0.22,0.11,2018,2.44,2.43,4.9
2012,0.56,0.09,0.01,0.02,0.2,0.12,,,,
2013,0.58,0.09,0.01,0.02,0.18,0.12,,,,
2014,0.58,0.09,0.01,0.02,0.16,0.14,,,,
2015,0.6,0.08,0.005,0.024,0.151,0.14,,,,
2016,0.61,0.08,0.005,0.015,0.14,0.15,,,,
2017,0.588,0.08,0.003,0.016,0.137,0.176,,,,
2018,0.573,0.072,0.002,0.02,0.132,0.201,,,,
